Name	Lab ID	Label	Species	Haplogroup	Location	Age	Description	Reference
KF661091.1		KF661091.1 | Canis lupus | Kesslerloch, Switzerland ~14.5 ky	Canis lupus 				Dog	10.1126/science.1243650
JAL69		JAL69 | Canis lupus  | Fairbanks, Alaska ~37.5ky	Canis lupus 		Fairbanks, Alaska	~37.5ky		https://doi.org/10.1038/s41586-022-04824-9
Wolf_head_IN18-016		Wolf_head_IN18-016 | Canis lupus  | Belaya Gora, Siberia, Russia ~32ky	Canis lupus 		Belaya Gora, Siberia, Russia	~32ky		https://doi.org/10.1038/s41586-022-04824-9
AL2744		AL2744 | Canis lupus  | Razboinichya Cave, Russia ~28.5ky	Canis lupus 		Razboinichya Cave, Russia	~28.5ky		https://doi.org/10.1038/s41586-022-04824-9
KF661085.1		KF661085.1 | Canis lupus | Kostenki, Russia ~22 ky	Canis lupus 				Wolf	10.1126/science.1243650
KF661051.1		KF661051.1 | Canis lupus | Iran	Canis lupus 				Wolf	10.1126/science.1243650
Taimyr-1		Taimyr-1 | Canis lupus  | Taimyr, Russia ~35ky	Canis lupus 		Taimyr, Russia	~35ky		https://doi.org/10.1038/s41586-022-04824-9
DS-WOL-VAL-005		DS-WOL-VAL-005 | Canis lupus  | Ogorokha River, Siberia, Russia ~32.5 ky	Canis lupus 		Ogorokha River, Siberia, Russia	~32.5 ky		https://doi.org/10.1038/s41586-022-04824-9
Yana-1		Yana-1 | Canis lupus  | Yana RHS, Siberia, Russia ~28ky	Canis lupus 		Yana RHS, Siberia, Russia	~28ky		https://doi.org/10.1038/s41586-022-04824-9
DS-WOL-VAL-011		DS-WOL-VAL-011 | Canis lupus  | Uyandina River, Siberia, Russia ~22.5ky	Canis lupus 		Uyandina River, Siberia, Russia	~22.5ky		https://doi.org/10.1038/s41586-022-04824-9
KF661089.1		KF661089.1 | Canis lupus | Alaska, USA ~21 ky	Canis lupus 				Wolf	10.1126/science.1243650
CGG19		CGG19 | Canis lupus  | Mus-Khaya, Siberia, Russia ~20ky	Canis lupus 		Mus-Khaya, Siberia, Russia	~20ky		https://doi.org/10.1038/s41586-022-04824-9
AL2657		AL2657 | Canis lupus  | Eliseevichi,Russia ~17ky	Canis lupus 		Eliseevichi,Russia	~17ky		https://doi.org/10.1038/s41586-022-04824-9
KF661082.1		KF661082.1 | Canis lupus familiaris | Eliseevichi, Russia ~15 ky	Canis lupus familiaris				Dog	10.1126/science.1243650
JK2179		JK2179 | Canis lupus  | Hohle Fels, Germany ~13ky	Canis lupus 		Hohle Fels, Germany	~13ky		https://doi.org/10.1038/s41586-022-04824-9
PON012		PON012 | Canis lupus  | Alvastra, Sweden ~5ky	Canis lupus 		Alvastra, Sweden	~5ky		https://doi.org/10.1038/s41586-022-04824-9
KF661038.1		KF661038.1 | Canis lupus | Finland	Canis lupus 				Wolf	10.1126/science.1243650
KF661090.1		KF661090.1 | Canis lupus | Alaska, USA ~20.8 ky	Canis lupus 				Wolf	10.1126/science.1243650
KF661093.1		KF661093.1 | Canis lupus familiaris (C) | Oberkassel, Germany ~14.7 ky	Canis lupus familiaris	Clade C			Dog	10.1126/science.1243650
KF661094.1		KF661094.1 | Canis lupus familiaris (C) | Kartstein cave, Germany ~12.5 ky	Canis lupus familiaris	Clade C			Dog	10.1126/science.1243650
DQ480501.1		DQ480501.1 | Canis lupus familiaris (C)	Canis lupus familiaris	Clade C			Dog	10.1101/gr.5117706
KX379529.1		KX379529.1 | HXH | Canis lupus familiaris (C) | Herxheim, Germany ~7 ky	Canis lupus familiaris	Clade C			Dog	10.1038/ncomms16082
KX379528.1		KX379528.1 | CTC | Canis lupus familiaris (C) | Cherry Tree Cave, Germany ~5 ky	Canis lupus familiaris	Clade C			Dog	10.1038/ncomms16082
KF661060.1		KF661060.1 | Canis lupus | Mexico 1	Canis lupus 				Wolf	10.1126/science.1243650
Tumat1		Tumat1 | Canis lupus  | Tumat, Siberia ~14.5ky	Canis lupus 		Tumat, Siberia	~14.5ky		https://doi.org/10.1038/s41586-022-04824-9
CGG20		CGG20 | Canis lupus  | Nikita Lake, Siberia, Russia ~13.5ky	Canis lupus 		Nikita Lake, Siberia, Russia	~13.5ky		https://doi.org/10.1038/s41586-022-04824-9
CGG21		CGG21 | Canis lupus  | Berelekh, Siberia, Russia ~14ky	Canis lupus 		Berelekh, Siberia, Russia	~14ky		https://doi.org/10.1038/s41586-022-04824-9
KF661041.1		KF661041.1 | Canis lupus | China 3	Canis lupus 				Wolf	10.1126/science.1243650
KF661043.1		KF661043.1 | Canis lupus | India	Canis lupus 				Wolf	10.1126/science.1243650
AL3185		AL3185 | Canis lupus  | Pietrele, Romania ~6ky	Canis lupus 		Pietrele, Romania	~6ky		https://doi.org/10.1038/s41586-022-04824-9
AL2350		AL2350 | Canis lupus  | Botai, Kazakhstan ~5ky	Canis lupus 		Botai, Kazakhstan	~5ky		https://doi.org/10.1038/s41586-022-04824-9
KF661055.1		KF661055.1 | Canis lupus | Israel 2	Canis lupus 				Wolf	10.1126/science.1243650
KF661064.1		KF661064.1 | Canis lupus | USA 1	Canis lupus 				Wolf	10.1126/science.1243650
KF661040.1		KF661040.1 | Canis lupus | Sweden 2	Canis lupus 				Wolf	10.1126/science.1243650
KF661049.1		KF661049.1 | Canis lupus | Poland 2	Canis lupus 				Wolf	10.1126/science.1243650
CANIS-ALAS-016		CANIS-ALAS-016 | Canis lupus  | Titaluk River, Alaska ~15.5ky	Canis lupus 		Titaluk River, Alaska	~15.5ky		https://doi.org/10.1038/s41586-022-04824-9
KF661046.1		KF661046.1 | Canis lupus | Russia 3	Canis lupus 				Wolf	10.1126/science.1243650
DS-CANIS-HMNH-011		DS-CANIS-HMNH-011 | Canis lupus  | Leány-barlang, Hungary ~7ky	Canis lupus 		Leány-barlang, Hungary	~7ky		https://doi.org/10.1038/s41586-022-04824-9
EU408260.1		EU408260.1 | Canis lupus familiaris (B)	Canis lupus familiaris	Clade B			Dog	10.1111/j.1556-4029.2008.00952.x
KC896375.1		KC896375.1 | Canis lupus | Mongolia	Canis lupus 				Wolf	10.3109/19401736.2013.823186
KF661056.1		KF661056.1 | Canis lupus | Canada 1	Canis lupus 				Wolf	10.1126/science.1243650
KF661058.1		KF661058.1 | Canis lupus | Alaska 1	Canis lupus 				Wolf	10.1126/science.1243650
TU148		TU148 | Canis lupus  | Banks Island, Canada ~3ky	Canis lupus 		Banks Island, Canada	~3ky		https://doi.org/10.1038/s41586-022-04824-9
TU144		TU144 | Canis lupus  | Banks Island, Canada ~3ky	Canis lupus 		Banks Island, Canada	~3ky		https://doi.org/10.1038/s41586-022-04824-9
