Name	Lab No	Label	Group	Species	Subspecies	Haplogroup	Description	Age	Location	Reference
OK513004.1	A5276	OK513004.1 | A5276 | Panthera spelaea (Clade 2) | Duvannyy Yar, Russia ~46ky	Pantherinae	Panthera spelaea		Clade 2		~46ky	Duvannyy Yar, Russia	10.1111/mec.16267
OK513013.1	A5343	OK513013.1 | A5343 | Panthera spelaea (Clade 2) | Gamssulzen, Austria ~50ky	Pantherinae	Panthera spelaea		Clade 2		~50ky	Gamssulzen, Austria	10.1111/mec.16267
OK513005.1	A5278	OK513005.1 | A5278 | Panthera spelaea (Clade 2) | Duvannyy Yar, Russia >53ky	Pantherinae	Panthera spelaea		Clade 2		>53ky	Duvannyy Yar, Russia	10.1111/mec.16267
OK513007.1	A5283	OK513007.1 | A5283 | Panthera spelaea (Clade 2) | Sibyllenhoehle, Germany >48ky	Pantherinae	Panthera spelaea		Clade 2		>48ky	Sibyllenhoehle, Germany	10.1111/mec.16267
PV930006.1	GMNH0024	PV930006.1 | GMNH0024 | Panthera spelaea (Japan) | Honshu Island, Japan ~34ky	Pantherinae	Panthera spelaea		Japan		~34ky	Honshu Island, Japan	https://doi.org/10.1073/pnas.2523901123
PV930007.1	GMNH0028	PV930007.1 | GMNH0028 | Panthera spelaea (Japan) | Honshu Island, Japan ~28ky	Pantherinae	Panthera spelaea		Japan		~28ky	Honshu Island, Japan	https://doi.org/10.1073/pnas.2523901123
PV930008.1	GMNH0031	PV930008.1 | GMNH0031 | Panthera spelaea (Japan) | Honshu Island, Japan ~31ky	Pantherinae	Panthera spelaea		Japan		~31ky	Honshu Island, Japan	https://doi.org/10.1073/pnas.2523901123
PV930009.1	GMNH0032	PV930009.1 | GMNH0032 | Panthera spelaea (Japan) | Honshu Island, Japan ~35ky	Pantherinae	Panthera spelaea		Japan		~35ky	Honshu Island, Japan	https://doi.org/10.1073/pnas.2523901123
PV930010.1	GMNH0034	PV930010.1 | GMNH0034 | Panthera spelaea (Japan) | Honshu Island, Japan ~33ky	Pantherinae	Panthera spelaea		Japan		~33ky	Honshu Island, Japan	https://doi.org/10.1073/pnas.2523901123
KX258451.1	YG401.410	KX258451.1 | YG401.410 | Panthera spelaea (Clade 1) | Quartz Creek, Yukon, Canada ~30ky	Pantherinae	Panthera spelaea		Clade 1		~30ky	Quartz Creek, Yukon, Canada	https://doi.org/10.5334/oq.24
OK512987.1	A334	OK512987.1 | A334 | Panthera spelaea (Clade 1) | Alaska, USA ~34ky	Pantherinae	Panthera spelaea		Clade 1		~34ky	Alaska, USA	10.1111/mec.16267
OK512984.1	A287	OK512984.1 | A287 | Panthera spelaea (Clade 1) | Fox Gulch, Canada ~47ky	Pantherinae	Panthera spelaea		Clade 1		~47ky	Fox Gulch, Canada	10.1111/mec.16267
OK512985.1	A322	OK512985.1 | A322 | Panthera spelaea (Clade 1) | Dawson, Canada ~48ky	Pantherinae	Panthera spelaea		Clade 1		~48ky	Dawson, Canada	10.1111/mec.16267
OK513001.1	A5273	OK513001.1 | A5273 | Panthera spelaea (Clade 1) | Duvannyy Yar, Russia >61ky	Pantherinae	Panthera spelaea		Clade 1		>61ky	Duvannyy Yar, Russia	10.1111/mec.16267
OK513003.1	A5275	OK513003.1 | A5275 | Panthera spelaea (Clade 1) | Krestovka River, Russia ~54ky	Pantherinae	Panthera spelaea		Clade 1		~54ky	Krestovka River, Russia	10.1111/mec.16267
OK513002.1	A5274	OK513002.1 | A5274 | Panthera spelaea (Clade 1) | Khromskaya Guba, Russia >50ky	Pantherinae	Panthera spelaea		Clade 1		>50ky	Khromskaya Guba, Russia	10.1111/mec.16267
OK513008.1	A5295	OK513008.1 | A5295 | Panthera spelaea | Bolshoi Liakhovsky Island, Russia >62ky	Pantherinae	Panthera spelaea				>62ky	Bolshoi Liakhovsky Island, Russia	10.1111/mec.16267
OK513014.1	A5353	OK513014.1 | A5353 | Panthera spelaea | Alaska, USA ~12ky	Pantherinae	Panthera spelaea				~12ky	Alaska, USA	10.1111/mec.16267
KX258452.1	F-2678/70	KX258452.1 | F-2678/70 | Panthera spelaea | Chukotka, Russia 	Pantherinae	Panthera spelaea					Chukotka, Russia	https://doi.org/10.5334/oq.24
OK512988.1	A5178	OK512988.1 | A5178 | Panthera atrox | Natural Trap Cave, Wyoming, USA ~25ky	Pantherinae	Panthera atrox				~25ky	Natural Trap Cave, Wyoming, USA	10.1111/mec.16267
OK513015.1	A5355	OK513015.1 | A5355 | Panthera atrox | Natural Trap Cave, Wyoming, USA ~25ky	Pantherinae	Panthera atrox				~25ky	Natural Trap Cave, Wyoming, USA	10.1111/mec.16267
OK513016.1	A5357	OK513016.1 | A5357 | Panthera atrox | Natural Trap Cave, Wyoming, USA ~24ky	Pantherinae	Panthera atrox				~24ky	Natural Trap Cave, Wyoming, USA	10.1111/mec.16267
OK513018.1	A16207	OK513018.1 | A16207 | Panthera atrox | Natural Trap Cave, Wyoming, USA ~20ky	Pantherinae	Panthera atrox				~20ky	Natural Trap Cave, Wyoming, USA	10.1111/mec.16267
OK513019.1	A16214	OK513019.1 | A16214 | Panthera atrox | Natural Trap Cave, Wyoming, USA ~20ky	Pantherinae	Panthera atrox				~20ky	Natural Trap Cave, Wyoming, USA	10.1111/mec.16267
OK513020.1	A18153	OK513020.1 | A18153 | Panthera atrox | Natural Trap Cave, Wyoming, USA ~21ky	Pantherinae	Panthera atrox				~21ky	Natural Trap Cave, Wyoming, USA	10.1111/mec.16267
OK513009.1	A5310	OK513009.1 | A5310 | Panthera atrox | Edmonton, Canada >50ky	Pantherinae	Panthera atrox				>50ky	Edmonton, Canada	10.1111/mec.16267
OK513010.1	A5311	OK513010.1 | A5311 | Panthera atrox | Edmonton, Canada ~29ky	Pantherinae	Panthera atrox				~29ky	Edmonton, Canada	10.1111/mec.16267
OK513011.1	A5312	OK513011.1 | A5312 | Panthera atrox | Edmonton, Canada ~29ky	Pantherinae	Panthera atrox				~29ky	Edmonton, Canada	10.1111/mec.16267
OK512983.1	A181	OK512983.1 | A181 | Panthera atrox | Sixtymile, Canada >51ky	Pantherinae	Panthera atrox				>51ky	Sixtymile, Canada	10.1111/mec.16267
OK513012.1	A5313	OK513012.1 | A5313 | Panthera atrox | Edmonton, Canada ~11ky	Pantherinae	Panthera atrox				~11ky	Edmonton, Canada	10.1111/mec.16267
KP001495.1		KP001495.1 | Panthera leo	Pantherinae	Panthera leo						
KP202262.1	PLE	KP202262.1 | PLE | Panthera leo	Pantherinae	Panthera leo						Unpublished, GenBank
NC_018053.1		NC_018053.1 | Panthera leo	Pantherinae	Panthera leo	persica		JQ904290			https://doi.org/10.1186/1471-2164-14-572
KF776494.1		KF776494.1 | Panthera leo	Pantherinae	Panthera leo	leo		African lion			https://doi.org/10.3109/19401736.2013.865171
NC_010641.1		NC_010641.1 | Panthera pardus (Asia) | Japan 	Pantherinae	Panthera pardus		Asia	EF551002		Japan	https://doi.org/10.1007/s11427-011-4219-1
KJ866876.1		KJ866876.1 | Panthera pardus (Asia) | Japan 	Pantherinae	Panthera pardus	japonensis	Asia	North Chinese leopard		Japan	https://doi.org/10.3109/19401736.2014.936421
MH588621.1	PP5	MH588621.1 | PP5 | Panthera pardus (Asia) | India ~0.2ky	Pantherinae	Panthera pardus		Asia		~0.2ky	India	10.1186/s12862-018-1268-0
MH588622.1	PP6	MH588622.1 | PP6 | Panthera pardus (Asia) | India ~0.2ky	Pantherinae	Panthera pardus		Asia		~0.2ky	India	10.1186/s12862-018-1268-0
MH588623.1	PP15	MH588623.1 | PP15 | Panthera pardus (Asia) | Thailand ~0.1ky	Pantherinae	Panthera pardus		Asia		~0.1ky	Thailand	10.1186/s12862-018-1268-0
MH588627.1	PP32	MH588627.1 | PP32 | Panthera pardus (Asia) | Java, Indonesia ~0.2ky	Pantherinae	Panthera pardus		Asia		~0.2ky	Java, Indonesia	10.1186/s12862-018-1268-0
KP001507.1		KP001507.1 | Panthera pardus (Asia)	Pantherinae	Panthera pardus		Asia				
MH588611.1	BAR001	MH588611.1 | BAR001 | Panthera pardus (Caucasus) | Mezmaiskaya Cave, Russia >35ky	Pantherinae	Panthera pardus		Caucasus		>35ky	Mezmaiskaya Cave, Russia	10.1186/s12862-018-1268-0
MH588620.1	PP3	MH588620.1 | PP3 | Panthera pardus (SE-Asia) | India ~0.2ky	Pantherinae	Panthera pardus		SE-Asia		~0.2ky	India	10.1186/s12862-018-1268-0
MH588628.1	PP35	MH588628.1 | PP35 | Panthera pardus (SE-Asia) | Sumatra, Indonesia ~0.2ky	Pantherinae	Panthera pardus		SE-Asia		~0.2ky	Sumatra, Indonesia	10.1186/s12862-018-1268-0
MH588617.1	N44005	MH588617.1 | N44005 | Panthera pardus (Europe) | Baumannshöhle, Germany ~40ky	Pantherinae	Panthera pardus		Europe		~40ky	Baumannshöhle, Germany	10.1186/s12862-018-1268-0
MH588616.1	N43981	MH588616.1 | N43981 | Panthera pardus (Europe) | Baumannshöhle, Germany ~38ky	Pantherinae	Panthera pardus		Europe		~38ky	Baumannshöhle, Germany	10.1186/s12862-018-1268-0
MH588615.1	N43974	MH588615.1 | N43974 | Panthera pardus (Europe) | Baumannshöhle, Germany ~40ky	Pantherinae	Panthera pardus		Europe		~40ky	Baumannshöhle, Germany	10.1186/s12862-018-1268-0
MH588614.1	N43962	MH588614.1 | N43962 | Panthera pardus (Europe) | Baumannshöhle, Germany ~45ky	Pantherinae	Panthera pardus		Europe		~45ky	Baumannshöhle, Germany	10.1186/s12862-018-1268-0
MH588613.1	N43951	MH588613.1 | N43951 | Panthera pardus (Europe) | Baumannshöhle, Germany ~40ky	Pantherinae	Panthera pardus		Europe		~40ky	Baumannshöhle, Germany	10.1186/s12862-018-1268-0
MH588612.1	N43947	MH588612.1 | N43947 | Panthera pardus (Europe) | Baumannshöhle, Germany ~40ky	Pantherinae	Panthera pardus		Europe		~40ky	Baumannshöhle, Germany	10.1186/s12862-018-1268-0
MH588629.1	PP43	MH588629.1 | PP43 | Panthera pardus (Africa) | Democratic Repulic Kongo ~0.1ky	Pantherinae	Panthera pardus		Africa		~0.1ky	Democratic Repulic Kongo	10.1186/s12862-018-1268-0
MH588631.1	PP55	MH588631.1 | PP55 | Panthera pardus (Africa) | Nigeria ~0.1ky	Pantherinae	Panthera pardus		Africa		~0.1ky	Nigeria	10.1186/s12862-018-1268-0
MH588624.1	PP16	MH588624.1 | PP16 | Panthera pardus (Africa) | Kenya ~0.1ky	Pantherinae	Panthera pardus		Africa		~0.1ky	Kenya	10.1186/s12862-018-1268-0
MH588630.1	PP44	MH588630.1 | PP44 | Panthera pardus (Africa) | Zambia ~0.1ky	Pantherinae	Panthera pardus		Africa		~0.1ky	Zambia	10.1186/s12862-018-1268-0
MH588632.1	PP298	MH588632.1 | PP298 | Panthera pardus (Africa) | Tanzania 	Pantherinae	Panthera pardus		Africa			Tanzania	10.1186/s12862-018-1268-0
MH588618.1	PP1	MH588618.1 | PP1 | Panthera pardus (Africa) | Algeria ~0.2ky	Pantherinae	Panthera pardus		Africa		~0.2ky	Algeria	10.1186/s12862-018-1268-0
MH588619.1	PP2	MH588619.1 | PP2 | Panthera pardus (Africa) | South Africa 	Pantherinae	Panthera pardus		Africa			South Africa	10.1186/s12862-018-1268-0
MH588625.1	PP19	MH588625.1 | PP19 | Panthera pardus (Africa) | Kenya ~0.1ky	Pantherinae	Panthera pardus		Africa		~0.1ky	Kenya	10.1186/s12862-018-1268-0
MH588626.1	PP26	MH588626.1 | PP26 | Panthera pardus (Africa) | Burundi ~0.2ky	Pantherinae	Panthera pardus		Africa		~0.2ky	Burundi	10.1186/s12862-018-1268-0
