Name	LabID	Label	Species	Subspecies	Haplogroup	Description	Age	Location	Reference
NC_020614.1		NC_020614.1 | Boselaphus tragocamelus	Boselaphus tragocamelus			Boselaphini			
NC_020788.1		NC_020788.1 | Tetracerus quadricornis	Tetracerus quadricornis			Boselaphini			
NC_020748.1	MBP15	NC_020748.1 | MBP15 | Tragelaphus angasii	Tragelaphus angasii						
NC_038064.1		NC_038064.1 | Tragelaphus buxtoni	Tragelaphus buxtoni						
NC_020749.1	SUN8	NC_020749.1 | SUN8 | Tragelaphus eurycerus	Tragelaphus eurycerus						
NC_020619.1		NC_020619.1 | Tragelaphus imberbis	Tragelaphus imberbis						
NC_020750.1	PHC13	NC_020750.1 | PHC13 | Tragelaphus oryx	Tragelaphus oryx						
NC_020751.1		NC_020751.1 | Tragelaphus scriptus	Tragelaphus scriptus						
NC_020620.1		NC_020620.1 | Tragelaphus spekii	Tragelaphus spekii						
NC_020752.1	PHC11	NC_020752.1 | PHC11 | Tragelaphus strepsiceros	Tragelaphus strepsiceros						
NC_020616.1		NC_020616.1 | Pseudoryx nghetinhensis	Pseudoryx nghetinhensis						
NC_020617.1		NC_020617.1 | Syncerus caffer	Syncerus caffer						
NC_057438.1		NC_057438.1 | Bubalus arnee	Bubalus arnee						
NC_049568.1		NC_049568.1 | Bubalus bubalis	Bubalus bubalis						
NC_006295.1		NC_006295.1 | Bubalus carabanensis	Bubalus carabanensis						
NC_020615.1		NC_020615.1 | Bubalus depressicornis	Bubalus depressicornis						
NC_060307.1		NC_060307.1 | Bubalus quarlesi	Bubalus quarlesi						
MF169212.1	Horn-10543	MF169212.1 | Horn-10543 | Bos primigenius (Clade P) | Denmark, ~0.5ky	Bos primigenius		Clade P		~0.5ky	Denmark	10.1016/j.jas.2018.09.001
JQ437479.1		JQ437479.1 | Bos primigenius (Clade P) | Poland, ~1.5ky	Bos primigenius		Clade P		~1.5ky	Poland	
MF169213.1	Horn-CMLIX	MF169213.1 | Horn-CMLIX | Bos primigenius (Clade P) | Denmark, ~0.5ky	Bos primigenius		Clade P		~0.5ky	Denmark	10.1016/j.jas.2018.09.001
OQ160844.1	HH03C	OQ160844.1 | HH03C | Bos primigenius (Clade C) | China, ~4.5ky	Bos primigenius		Clade C		~4.5ky	China	10.1016/j.jasrep.2023.104136
OQ160855.1	HH16C	OQ160855.1 | HH16C | Bos primigenius (Clade C) | China, ~4ky	Bos primigenius		Clade C		~4ky	China	10.1016/j.jasrep.2023.104136
OQ160842.1	HH01C	OQ160842.1 | HH01C | Bos primigenius (Clade C) | China, ~4.5ky	Bos primigenius		Clade C		~4.5ky	China	10.1016/j.jasrep.2023.104136
OQ160845.1	HH04C	OQ160845.1 | HH04C | Bos primigenius (Clade C) | China, ~4.5ky	Bos primigenius		Clade C		~4.5ky	China	10.1016/j.jasrep.2023.104136
KF525852.1		KF525852.1 | Bos primigenius (Clade C) | Harbin, China, ~11ky	Bos primigenius		Clade C		~11ky	Harbin, China	10.1038/ncomms3755
HQ184040.1	Rom498	HQ184040.1 | Rom498 | Bos taurus (Clade R) | Italy	Bos taurus		Clade R			Italy	10.1371/journal.pone.0015760
HQ184045.1	Mcg375	HQ184045.1 | Mcg375 | Bos taurus (Clade R) | Italy	Bos taurus		Clade R			Italy	10.1371/journal.pone.0015760
FJ971084.1	Per12	FJ971084.1 | Per12 | Bos taurus (Clade R) | Italy	Bos taurus		Clade R			Italy	10.1371/journal.pone.0005753
NC_005971.1		NC_005971.1 | Bos taurus (Clade I)	Bos taurus	indicus	Clade I				
EU177868.1	Bos51	EU177868.1 | Bos51 | Bos taurus (Clade I) | Iraq	Bos taurus	indicus	Clade I			Iraq	https://doi.org/10.1016/j.cub.2008.01.019
FJ971088.1	Mong01	FJ971088.1 | Mong01 | Bos taurus (Clade I) | Mongolia	Bos taurus	indicus	Clade I			Mongolia	10.1371/journal.pone.0005753
KP143771.1	XZ1	KP143771.1 | XZ1 | Bos taurus (Clade I) | China	Bos taurus	indicus	Clade I			China	10.3109/19401736.2014.1003849
EU177870.1	Bos49	EU177870.1 | Bos49 | Bos taurus (Clade I) | Iran	Bos taurus	indicus	Clade I			Iran	https://doi.org/10.1016/j.cub.2008.01.019
AF492350.1		AF492350.1 | Bos taurus (Clade I)	Bos taurus	indicus	Clade I				10.1159/000118756
NC_020675.1		NC_020675.1 | Aepyceros melampus	Aepyceros melampus						
NC_020728.1	SUN	NC_020728.1 | SUN | Neotragus moschatus	Neotragus moschatus 						
NC_020727.1	CAR86	NC_020727.1 | CAR86 | Neotragus batesi	Neotragus batesi						
ON101842.1	NBC RB4 D3	ON101842.1 | NBC RB4 D3 | Hippotragus leucophaeus | Nelson Bay Cave, South Africa, ~9.5ky	Hippotragus leucophaeus				~9.5ky	Nelson Bay Cave, South Africa	https://doi.org/10.1093/molbev/msac241
NC_035309.1		NC_035309.1 | Hippotragus leucophaeus	Hippotragus leucophaeus						
NC_020712.1	B8-6	NC_020712.1 | B8-6 | Hippotragus equinus	Hippotragus equinus						
NC_020713.1	ZA4143	NC_020713.1 | ZA4143 | Hippotragus niger	Hippotragus niger 						
NC_062362.1		NC_062362.1 | Hippotragus niger	Hippotragus niger	niger					
NC_062361.1		NC_062361.1 | Hippotragus niger	Hippotragus niger	roosevelti					
NC_062360.1		NC_062360.1 | Hippotragus niger	Hippotragus niger	variani					
NC_020674.1		NC_020674.1 | Addax nasomaculatus	Addax nasomaculatus						
NC_020793.1	AWWP	NC_020793.1 | AWWP | Oryx beisa	Oryx beisa						
NC_058019.1	VZ	NC_058019.1 | VZ | Oryx dammah	Oryx dammah						
NC_016422.1		NC_016422.1 | Oryx gazella	Oryx gazella						
NC_020732.1		NC_020732.1 | Oryx leucoryx	Oryx leucoryx						
NC_023543.1		NC_023543.1 | Damaliscus lunatus	Damaliscus lunatus						
NC_020627.1		NC_020627.1 | Damaliscus pygargus	Damaliscus pygargus						
NC_020676.1	SUN	NC_020676.1 | SUN | Alcelaphus buselaphus	Alcelaphus buselaphus						
NC_020698.1	SUN61	NC_020698.1 | SUN61 | Connochaetes gnou	Connochaetes gnou						
NC_020699.1	SUN70	NC_020699.1 | SUN70 | Connochaetes taurinus	Connochaetes taurinus						
NC_007441.1		NC_007441.1 | Pantholops hodgsonii	Pantholops hodgsonii						
NC_020631.1		NC_020631.1 | Ovibos moschatus	Ovibos moschatus						
NC_012096.1		NC_012096.1 | Capricornis crispus	Capricornis crispus						
NC_023457.1		NC_023457.1 | Capricornis milneedwardsii	Capricornis milneedwardsii						
NC_045205.1		NC_045205.1 | Capricornis rubidus	Capricornis rubidus						
NC_030179.1	YZ-2016	NC_030179.1 | YZ-2016 | Capricornis sp.	Capricornis sp.						
NC_020629.1		NC_020629.1 | Capricornis sumatraensis	Capricornis sumatraensis						
